"","SMd2023","soil_water_content","Date"
"2023-07-19 23:45:00","2023-07-19 23:45:00",0.21174,2023-07-19
"2023-07-20 23:45:00","2023-07-20 23:45:00",0.2134375,2023-07-20
"2023-07-21 23:45:00","2023-07-21 23:45:00",0.2130625,2023-07-21
"2023-07-22 23:45:00","2023-07-22 23:45:00",0.21303125,2023-07-22
"2023-07-23 23:45:00","2023-07-23 23:45:00",0.213729166666667,2023-07-23
"2023-07-24 23:45:00","2023-07-24 23:45:00",0.214,2023-07-24
"2023-07-25 23:45:00","2023-07-25 23:45:00",0.214,2023-07-25
"2023-07-26 23:45:00","2023-07-26 23:45:00",0.213791666666667,2023-07-26
"2023-07-27 23:45:00","2023-07-27 23:45:00",0.213760416666667,2023-07-27
"2023-07-28 23:45:00","2023-07-28 23:45:00",0.213614583333333,2023-07-28
"2023-07-29 23:45:00","2023-07-29 23:45:00",0.213385416666667,2023-07-29
"2023-07-30 23:45:00","2023-07-30 23:45:00",0.21334375,2023-07-30
"2023-07-31 23:45:00","2023-07-31 23:45:00",0.213166666666667,2023-07-31
"2023-08-01 23:45:00","2023-08-01 23:45:00",0.213,2023-08-01
"2023-08-02 23:45:00","2023-08-02 23:45:00",0.213,2023-08-02
"2023-08-03 23:45:00","2023-08-03 23:45:00",0.213,2023-08-03
"2023-08-04 23:45:00","2023-08-04 23:45:00",0.213,2023-08-04
"2023-08-05 23:45:00","2023-08-05 23:45:00",0.213,2023-08-05
"2023-08-06 23:45:00","2023-08-06 23:45:00",0.213,2023-08-06
"2023-08-07 23:45:00","2023-08-07 23:45:00",0.213,2023-08-07
"2023-08-08 23:45:00","2023-08-08 23:45:00",0.213,2023-08-08
"2023-08-09 23:45:00","2023-08-09 23:45:00",0.213,2023-08-09
"2023-08-10 23:45:00","2023-08-10 23:45:00",0.213,2023-08-10
"2023-08-11 23:45:00","2023-08-11 23:45:00",0.213,2023-08-11
"2023-08-12 23:45:00","2023-08-12 23:45:00",0.213,2023-08-12
"2023-08-13 23:45:00","2023-08-13 23:45:00",0.213,2023-08-13
"2023-08-14 23:45:00","2023-08-14 23:45:00",0.213395833333333,2023-08-14
"2023-08-15 23:45:00","2023-08-15 23:45:00",0.214,2023-08-15
"2023-08-16 23:45:00","2023-08-16 23:45:00",0.214,2023-08-16
"2023-08-17 23:45:00","2023-08-17 23:45:00",0.214,2023-08-17
"2023-08-18 23:45:00","2023-08-18 23:45:00",0.214,2023-08-18
"2023-08-19 23:45:00","2023-08-19 23:45:00",0.213770833333333,2023-08-19
"2023-08-20 23:45:00","2023-08-20 23:45:00",0.213,2023-08-20
"2023-08-21 23:45:00","2023-08-21 23:45:00",0.213,2023-08-21
"2023-08-22 23:45:00","2023-08-22 23:45:00",0.213,2023-08-22
"2023-08-23 23:45:00","2023-08-23 23:45:00",0.21259375,2023-08-23
"2023-08-24 23:45:00","2023-08-24 23:45:00",0.212,2023-08-24
"2023-08-25 23:45:00","2023-08-25 23:45:00",0.212239583333333,2023-08-25
"2023-08-26 23:45:00","2023-08-26 23:45:00",0.212895833333333,2023-08-26
"2023-08-27 23:45:00","2023-08-27 23:45:00",0.212510416666667,2023-08-27
"2023-08-28 23:45:00","2023-08-28 23:45:00",0.212,2023-08-28
"2023-08-29 23:45:00","2023-08-29 23:45:00",0.212,2023-08-29
"2023-08-30 23:45:00","2023-08-30 23:45:00",0.212,2023-08-30
"2023-08-31 23:45:00","2023-08-31 23:45:00",0.216145833333333,2023-08-31
"2023-09-01 23:45:00","2023-09-01 23:45:00",0.23028125,2023-09-01
"2023-09-02 23:45:00","2023-09-02 23:45:00",0.227458333333333,2023-09-02
"2023-09-03 23:45:00","2023-09-03 23:45:00",0.225239583333333,2023-09-03
"2023-09-04 23:45:00","2023-09-04 23:45:00",0.223583333333333,2023-09-04
"2023-09-05 23:45:00","2023-09-05 23:45:00",0.222302083333333,2023-09-05
"2023-09-06 23:45:00","2023-09-06 23:45:00",0.2211875,2023-09-06
"2023-09-07 23:45:00","2023-09-07 23:45:00",0.22028125,2023-09-07
