"","Date","max_temp","min_temp","mean_temp","max_VPD","min_VPD","daily_precip"
"1",2022-04-01,13.1,1.1,7.1,0.785,0.001,0
"2",2022-04-02,15.5,1,8.3,0.882,0.004,1.54
"3",2022-04-03,15,3.3,9.2,0.971,0.011,0
"4",2022-04-04,14.2,4,9.1,0.712,0.004,22.8
"5",2022-04-05,12.1,4,8,0.641,0.041,3.24
"6",2022-04-06,13.1,1.7,7.4,0.829,0.026,0
"7",2022-04-07,17.3,1,9.2,1.093,0.039,0
"8",2022-04-08,23.3,3.1,13.2,1.659,0.022,0
"9",2022-04-09,13.9,2.5,8.2,0.835,0.028,0
"10",2022-04-10,12,1.9,6.9,0.781,0.015,5.35
"11",2022-04-11,7.4,2.1,4.7,0.208,0,14.42
"12",2022-04-12,10,1.2,5.6,0.561,0.014,7.7
"13",2022-04-13,8.1,0.7,4.4,0.374,0.001,17.1
"14",2022-04-14,8.3,0.1,4.2,0.276,0.005,4.95
"15",2022-04-15,8.9,-1.1,3.9,0.426,0.005,3.59
"16",2022-04-16,12.3,-1.7,5.3,0.947,0.003,0
"17",2022-04-17,11,-0.5,5.2,0.618,0.003,1.23
"18",2022-04-18,12.6,0,6.3,0.771,0.011,0.52
"19",2022-04-19,11.9,4.3,8.1,0.322,0.016,13.24
"20",2022-04-20,11.6,2.7,7.2,0.424,0.01,8.21
"21",2022-04-21,11.5,2.9,7.2,0.244,0.001,18.41
"22",2022-04-22,13.9,3.6,8.7,0.701,0,1.21
"23",2022-04-23,15.6,1.9,8.8,0.797,0,1.62
"24",2022-04-24,18.1,1.6,9.9,1.293,0,0
"25",2022-04-25,21,2,11.5,1.539,0.002,0
"26",2022-04-26,14.1,6.1,10.1,0.733,0.05,0.6
"27",2022-04-27,14,5.8,9.9,0.793,0.06,1.86
"28",2022-04-28,13.8,5.6,9.7,0.724,0.03,0.83
"29",2022-04-29,13.5,4.8,9.2,0.69,0.017,1.39
"30",2022-04-30,15.7,7,11.3,0.889,0.025,11.29
"31",2022-05-01,13.8,6.7,10.3,0.507,0.019,1.32
"32",2022-05-02,17.5,6.8,12.2,0.874,0.024,6.54
"33",2022-05-03,11.6,6.8,9.2,0.295,0.021,3.68
"34",2022-05-04,16.4,6.1,11.2,0.866,0.038,0
"35",2022-05-05,21.9,5.8,13.9,1.324,0.047,6.92
"36",2022-05-06,15.1,7.1,11.1,0.42,0.013,11.45
"37",2022-05-07,16,8.9,12.4,0.574,0.005,9.04
"38",2022-05-08,12.2,4.8,8.5,0.561,0.038,3.65
"39",2022-05-09,10.1,2.6,6.4,0.358,0.012,6.1
"40",2022-05-10,11.8,3.5,7.6,0.505,0.023,1.28
"41",2022-05-11,15.5,3.4,9.5,0.963,0.017,0.71
"42",2022-05-12,16.4,3,9.7,1.067,0.021,0.97
"43",2022-05-13,10.9,1.9,6.4,0.346,0,9.58
"44",2022-05-14,13.2,2.9,8,0.442,0.009,23.03
"45",2022-05-15,19.7,11.2,15.4,0.769,0.008,1.12
"46",2022-05-16,21,10.6,15.8,1.085,0.014,0.01
"47",2022-05-17,17.4,5.7,11.6,0.973,0.02,0
"48",2022-05-18,18.6,5.6,12.1,1.174,0.029,3.3
"49",2022-05-19,15.7,7.1,11.4,0.718,0.067,1.81
"50",2022-05-20,14.5,3.4,8.9,0.854,0.027,0.29
"51",2022-05-21,15.8,2,8.9,0.903,0.003,0
"52",2022-05-22,21.5,4.1,12.8,1.658,0.019,0
"53",2022-05-23,22.6,6,14.3,1.898,0.021,0.12
"54",2022-05-24,22.7,7.4,15,1.496,0.04,0
"55",2022-05-25,23.2,7.2,15.2,1.741,0.033,0
"56",2022-05-26,24.1,10.7,17.4,1.551,0.078,0
"57",2022-05-27,23.4,11.8,17.6,1.3,0.049,1.67
"58",2022-05-28,17.6,9.2,13.4,0.908,0.054,0
"59",2022-05-29,16.1,9.2,12.6,0.457,0.022,8.53
"60",2022-05-30,14.1,7.9,11,0.653,0.056,0.05
"61",2022-05-31,16.8,6.3,11.5,0.851,0.015,2.03
"62",2022-06-01,23,6.8,14.9,1.524,0.017,0
"63",2022-06-02,24.9,9.4,17.2,1.716,0.013,0
"64",2022-06-03,25.3,9.6,17.5,1.795,0.026,1.17
"65",2022-06-04,18.5,11.5,15,0.801,0.011,5.41
"66",2022-06-05,17,11.7,14.4,0.242,0.012,17.38
"67",2022-06-06,20.2,11.7,15.9,0.85,0.016,6.53
"68",2022-06-07,18.1,8.3,13.2,0.806,0.021,0.66
"69",2022-06-08,20.6,7.7,14.1,1.07,0.03,0
"70",2022-06-09,23.9,16.4,19.6837837837838,1.47768584667919,0.182788989261625,1.718
"71",2022-06-10,20.3,14.3,17.0333333333333,0.466495070234256,0.0093259688398788,3.861
"72",2022-06-11,18.5,12,15.6958333333333,0.470660360087324,-0.00176095811484567,1.684
"73",2022-06-12,14.3,9.8,11.903125,0.557438917804708,0.0176403259168867,4.986
"74",2022-06-13,15.5,8.3,11.553125,0.61494246364592,0.0661394699983366,0.017
"75",2022-06-14,19.3,9.3,13.15625,1.23579391390718,0.0227022447578147,0.391
"76",2022-06-15,19.4,8.6,13.6104166666667,0.991200694146672,0.10402323686741,0.68
"77",2022-06-16,20.3,11.8,15.0791666666667,1.3280419885995,0.076317140373243,0.017
"78",2022-06-17,15.7,10,12.39375,0.633943494825991,0.0292651065220737,9.257
"79",2022-06-18,18.4,8.2,12.93125,0.916394024444769,0.00130397939264904,0
"80",2022-06-19,17.1,10.3,13.6322916666667,0.643300341458506,0.10578776543237,0
"81",2022-06-20,21.8,9.5,15.5958333333333,1.39989266993401,0.00532092845855892,0
"82",2022-06-21,27.7,9.9,19.046875,2.12079131671459,0.00255636622742794,0.119
"83",2022-06-22,27.7,13.2,20.8114583333333,1.80565749589969,0.161453693930901,0
"84",2022-06-23,24.2,9.4,16.5552083333333,1.89223869316241,0.181631904799805,0
"85",2022-06-24,27.9,9.9,19.2947916666667,2.63417567458489,0.21856931244508,0
"86",2022-06-25,33.4,17.3,25.346875,3.81664893295775,1.02294450641771,0
"87",2022-06-26,35.4,16.7,25.9927083333333,4.1038857834988,0.54339205439107,0
"88",2022-06-27,31.3,11.8,21.35625,3.50029435880175,0.0526121870296341,0
"89",2022-06-28,22.2,10.4,16.2270833333333,1.24443127397932,0.0933314506710159,0.017
"90",2022-06-29,24.6,10.5,16.5145833333333,1.58356839242185,0.0496054580694081,0.017
"91",2022-06-30,26.2,8.4,17.078125,1.89124537452157,0,0.085
"92",2022-07-01,25.7,9.9,17.1395833333333,1.64114007951723,0.00311505536978629,0.017
"93",2022-07-02,22.3,9.7,15.6645833333333,1.06354768090442,0.0106220152191561,0.068
"94",2022-07-03,22.1,12.8,16.1979166666667,1.21663696659994,0.0708548134521629,0.323
"95",2022-07-04,24.9,8.8,16.8697916666667,1.7579601581532,-0.00139330225683487,0.017
"96",2022-07-05,21.5,14.5,17.6208333333333,0.85889306137742,0.0526490447138488,2.363
"97",2022-07-06,23.4,14.1,18.478125,1.14831213959641,0.00368314903442535,1.055
"98",2022-07-07,24.1,12.6,17.871875,1.3747824896464,0.0505904866625309,0
"99",2022-07-08,26.7,10.2,18.2270833333333,1.97911359407623,-0.00501788359254607,0
"100",2022-07-09,26.7,11.1,18.6427083333333,1.82473163666303,0.00154741726557739,0
"101",2022-07-10,26.7,8.8,18.8458333333333,2.03165643285701,-0.00147824273108688,0
"102",2022-07-11,34.9,17,25.2739583333333,3.80764024482505,0.453410481630393,0
"103",2022-07-12,33.5,14.7,24.7645833333333,3.40354937576902,0.324489805651322,0
"104",2022-07-13,26.9,10.3,18.4666666666667,2.23642815152524,0.00417990677050506,0
"105",2022-07-14,28.5,9.9,18.6104166666667,2.24907267233642,-0.00150754922238638,0
"106",2022-07-15,27.6,8.9,18.4072916666667,2.06044352292849,0.00651989696324518,0
"107",2022-07-16,24.1,12,17.5135416666667,1.3477671132123,0.00179512104317947,0
"108",2022-07-17,24.3,13.7,18.471875,1.77413499939146,0.134278319704908,0
"109",2022-07-18,26.6,9.9,18.6947916666667,2.01625881226697,0.109775600320848,0
"110",2022-07-19,31.8,11.7,21.384375,3.02272217772409,0,0
"111",2022-07-20,33.1,12,22.0520833333333,3.40111252301917,-0.00156769602788254,0.051
"112",2022-07-21,26.8,12.7,18.76875,1.76879953713377,0.0654161627655132,0
