"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-04-03","    3","1.32",,
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-04-04",,,"0.09",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-04-05",,,"0.03",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-04-06",,,"0.33",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-04-10","    4","1.33",,
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-04-11",,,"0.73",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-04-12",,,"0.15",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-04-13",,,"0.10",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-04-14",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-05-02","   18","1.12",,
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-05-03",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-05-04",,,"0.02",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-05-05",,,"0.13",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-05-06",,,"0.36",
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-05-11","    5","0.18",,
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-05-12",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-05-13",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-05-15",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-05-16",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-05-17",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-05-20","    3","0.00",,
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-05-21",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-05-22",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-05-23",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-05-24",,,"0.00","0.0"
"US1ORLN0078","CORVALLIS 3.5 E, OR US","2023-05-25",,,"0.00","0.0"
