Records: 35037,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
6/9/22 14:30,917.3,0.000,0,0,100,2.20,2.46,23.2,0.452,100.56,0.8,0.0,0.0,25.5,90,7723,100.45,26.0
6/9/22 14:45,568.5,0.000,0,0,155,1.15,5.54,22.7,0.521,100.56,1.1,0.1,0.0,25.5,92,7735,100.46,26.7
6/9/22 15:00,495.1,0.000,0,0,205,1.50,4.45,23.1,0.525,100.55,1.2,0.2,0.0,25.9,93,7748,100.45,26.4
6/9/22 15:15,474.0,0.000,0,0,225,1.57,4.27,23.3,0.508,100.54,1.1,0.2,0.0,25.7,94,7757,100.43,26.1
6/9/22 15:30,419.8,0.000,0,0,252,1.69,5.70,23.4,0.496,100.53,1.1,0.2,0.0,25.6,95,7763,100.42,25.9
6/9/22 15:45,459.9,0.000,0,0,219,1.18,3.36,23.9,0.512,100.52,1.0,0.2,0.0,26.1,93,7748,100.41,26.7
6/9/22 16:00,209.5,0.000,0,0,247,1.34,3.26,23.5,0.529,100.54,1.1,0.2,0.0,25.7,94,7757,100.43,26.3
6/9/22 16:15,203.9,0.000,0,0,224,0.95,3.15,23.3,0.553,100.53,1.1,0.2,0.0,25.1,95,7758,100.41,25.6
6/9/22 16:30,233.2,0.000,0,0,210,1.01,2.53,23.4,0.538,100.49,1.1,0.2,0.0,25.0,93,7745,100.37,25.5
6/9/22 16:45,208.5,0.000,0,0,193,0.95,2.22,23.4,0.549,100.49,1.0,0.2,0.0,24.9,94,7751,100.38,25.5
6/9/22 17:00,210.1,0.000,0,0,213,0.90,2.57,23.5,0.510,100.49,1.1,0.2,0.0,25.0,94,7753,100.38,25.3
6/9/22 17:15,229.6,0.000,0,0,216,1.05,2.99,23.3,0.493,100.49,1.0,0.1,0.0,24.9,94,7754,100.39,25.1
6/9/22 17:30,195.8,0.000,0,0,253,1.73,4.63,23.0,0.474,100.48,1.0,0.2,0.0,24.7,94,7757,100.37,24.9
6/9/22 17:45,106.6,0.000,0,0,257,1.70,3.37,21.9,0.491,100.47,1.0,0.2,0.0,23.7,94,7756,100.36,23.9
6/9/22 18:00,174.4,0.000,0,0,235,0.53,1.37,21.0,0.575,100.42,0.9,0.2,0.0,22.6,94,7757,100.31,22.8
6/9/22 18:15,191.5,0.000,0,0,258,1.06,3.03,20.7,0.620,100.40,0.9,0.1,0.0,22.2,95,7761,100.30,22.5
6/9/22 18:30,133.3,0.000,0,0,266,1.10,2.34,20.1,0.687,100.40,0.9,0.2,0.0,21.6,95,7760,100.30,22.0
6/9/22 18:45,83.7,0.000,0,0,292,0.99,2.12,19.9,0.705,100.39,0.9,0.2,0.0,21.0,94,7755,100.29,21.4
6/9/22 19:00,71.0,0.000,0,0,295,1.19,2.75,19.4,0.712,100.43,0.8,0.1,0.0,20.3,94,7756,100.34,20.8
6/9/22 19:15,84.3,0.000,0,0,277,1.93,4.92,20.1,0.669,100.50,0.9,0.1,0.0,20.0,94,7754,100.41,20.5
6/9/22 19:30,24.3,0.357,0,0,277,3.20,7.68,18.4,0.815,100.58,1.1,0.1,8.2,19.7,94,7753,100.49,19.9
6/9/22 19:45,12.2,1.106,0,0,256,2.78,4.88,17.2,0.892,100.60,0.7,0.1,18.4,17.9,94,7753,100.51,18.6
6/9/22 20:00,29.0,0.136,0,0,247,2.58,5.86,17.3,0.894,100.62,0.6,0.2,3.1,17.2,94,7751,100.53,18.0
6/9/22 20:15,56.3,0.000,0,0,244,2.60,6.23,17.3,0.893,100.62,0.8,0.2,0.0,17.1,94,7751,100.54,17.8
6/9/22 20:30,17.0,0.000,0,0,252,1.64,4.45,17.2,0.887,100.63,0.7,0.1,0.0,17.0,93,7748,100.56,17.5
6/9/22 20:45,3.1,0.119,0,0,249,1.82,5.56,17.1,0.887,100.64,0.6,0.2,2.0,16.8,94,7750,100.57,17.3
6/9/22 21:00,0.3,0.000,0,0,250,2.10,4.93,16.9,0.891,100.66,0.6,0.2,0.0,16.6,93,7747,100.59,17.1
6/9/22 21:15,0.0,0.000,0,0,249,2.48,5.99,16.9,0.882,100.66,0.7,0.1,0.0,16.4,93,7749,100.60,16.9
6/9/22 21:30,0.0,0.000,0,0,251,2.10,5.11,16.8,0.880,100.66,0.6,0.2,0.0,16.4,93,7748,100.60,16.8
6/9/22 21:45,0.0,0.000,0,0,242,1.97,5.01,16.7,0.876,100.67,0.7,0.2,0.0,16.3,93,7746,100.61,16.7
6/9/22 22:00,0.0,0.000,0,0,234,1.88,4.68,16.8,0.867,100.68,0.7,0.2,0.0,16.3,93,7745,100.62,16.6
6/9/22 22:15,0.0,0.000,0,0,243,1.47,5.02,16.7,0.867,100.70,0.7,0.2,0.0,16.3,93,7745,100.64,16.5
6/9/22 22:30,0.0,0.000,0,0,221,0.93,3.23,16.6,0.880,100.72,0.7,0.2,0.0,16.2,93,7743,100.66,16.5
6/9/22 22:45,0.0,0.000,0,0,206,0.79,2.46,16.6,0.882,100.74,0.6,0.3,0.0,16.1,93,7744,100.68,16.4
6/9/22 23:00,0.0,0.000,0,0,198,1.13,3.61,16.7,0.879,100.76,0.7,0.2,0.0,16.1,93,7745,100.70,16.4
6/9/22 23:15,0.0,0.000,0,0,259,1.58,3.82,16.9,0.865,100.77,0.7,0.2,0.0,16.3,92,7741,100.71,16.5
6/9/22 23:30,0.0,0.000,0,0,256,1.11,2.83,16.9,0.868,100.76,0.7,0.2,0.0,16.4,93,7742,100.70,16.7
6/9/22 23:45,0.0,0.000,0,0,126,0.62,1.08,16.4,0.902,100.75,0.7,0.2,0.0,16.3,92,7741,100.69,16.5
6/10/22 0:00,0.0,0.000,0,0,136,0.79,1.89,16.5,0.893,100.75,0.6,0.2,0.0,16.1,93,7744,100.69,16.4
6/10/22 0:15,0.0,0.000,0,0,189,0.69,2.03,16.7,0.880,100.75,0.7,0.2,0.0,16.2,90,7721,100.69,16.6
6/10/22 0:30,0.0,0.000,0,0,170,0.77,1.29,16.4,0.901,100.75,0.7,0.2,0.0,16.2,91,7727,100.69,16.6
6/10/22 0:45,0.0,0.000,0,0,162,0.78,1.34,16.2,0.920,100.75,0.7,0.2,0.0,16.1,91,7729,100.69,16.4
6/10/22 1:00,0.0,0.000,0,0,165,0.56,1.41,16.2,0.921,100.72,0.7,0.2,0.0,16.0,91,7726,100.66,16.3
6/10/22 1:15,0.0,0.000,0,0,136,0.64,1.61,16.3,0.917,100.72,0.7,0.2,0.0,15.9,91,7725,100.66,16.3
6/10/22 1:30,0.0,0.017,0,0,108,0.69,1.30,16.2,0.924,100.71,0.7,0.2,1.0,16.0,90,7724,100.65,16.3
6/10/22 1:45,0.0,0.000,0,0,110,0.64,1.14,16.0,0.948,100.70,0.7,0.2,0.0,15.9,90,7724,100.64,16.2
6/10/22 2:00,0.0,0.017,0,0,139,0.54,1.03,16.0,0.948,100.70,0.7,0.3,1.0,15.8,91,7727,100.65,16.1
