z6-18292,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 1,Port 2,Port 7,Port 7,Port 8,Port 8
Records: 8089,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,ATMOS 41,TEROS 10,Battery,Battery,Barometer,Barometer
Timestamp, W/m² Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance,° Wind Direction, m/s Wind Speed, m/s Gust Speed, °C Air Temperature, RH Relative Humidity, kPa Atmospheric Pressure,° X-axis Level,° Y-axis Level, mm/h Max Precip Rate, °C RH Sensor Temp, m³/m³ Water Content,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
7/19/23 11:30,668.3,0.000,0,0,189,2.46,2.77,25.1,0.496,101.04,1.7,0.6,0.0,28.7,0.090,100,8336,100.90,28.5
7/19/23 11:45,735.5,0.000,0,0,197,2.11,3.05,25.7,0.482,101.03,1.8,0.6,0.0,29.4,0.193,100,8432,100.88,30.3
7/19/23 12:00,759.1,0.000,0,0,168,2.82,4.30,26.0,0.478,101.02,1.8,0.6,0.0,29.8,0.216,100,8588,100.87,30.8
7/19/23 12:15,782.6,0.000,0,0,151,2.91,4.34,26.8,0.446,101.01,1.7,0.6,0.0,30.1,0.216,100,8723,100.88,31.1
7/19/23 12:30,797.6,0.000,0,0,186,2.44,4.95,27.3,0.444,101.00,1.8,0.6,0.0,30.9,0.216,100,8832,100.88,31.3
7/19/23 12:45,826.2,0.000,0,0,196,2.54,4.48,27.6,0.451,100.98,1.8,0.7,0.0,31.4,0.216,100,8907,100.86,31.8
7/19/23 13:00,843.9,0.000,0,0,208,2.97,4.38,27.8,0.441,100.97,1.9,0.6,0.0,31.4,0.215,100,8965,100.85,31.8
7/19/23 13:15,854.4,0.000,0,0,181,2.36,3.82,28.2,0.431,100.95,1.8,0.6,0.0,31.7,0.215,100,9010,100.83,32.0
7/19/23 13:30,844.9,0.000,0,0,166,2.98,4.25,29.1,0.410,100.94,1.9,0.6,0.0,32.2,0.215,100,9041,100.82,32.6
7/19/23 13:45,830.2,0.000,0,0,174,2.83,3.80,29.6,0.406,100.93,1.9,0.6,0.0,32.8,0.215,100,9071,100.80,33.3
7/19/23 14:00,821.1,0.000,0,0,197,3.14,4.40,29.9,0.413,100.92,1.9,0.6,0.0,33.2,0.215,100,9095,100.78,33.9
7/19/23 14:15,823.9,0.000,0,0,198,2.95,5.27,30.2,0.405,100.91,1.9,0.6,0.0,33.3,0.215,100,9119,100.77,34.1
7/19/23 14:30,801.1,0.000,0,0,198,3.50,5.43,30.5,0.402,100.89,1.9,0.6,0.0,33.4,0.215,100,9140,100.76,34.2
7/19/23 14:45,800.9,0.000,0,0,205,3.47,5.22,30.8,0.395,100.88,1.9,0.6,0.0,33.6,0.215,100,9162,100.74,34.4
7/19/23 15:00,782.2,0.000,0,0,196,3.51,5.21,31.1,0.387,100.87,2.0,0.6,0.0,33.8,0.215,100,9177,100.73,34.5
7/19/23 15:15,774.7,0.000,0,0,208,3.26,4.84,31.3,0.392,100.86,2.0,0.6,0.0,34.0,0.215,100,9196,100.72,34.7
7/19/23 15:30,755.9,0.000,0,0,208,3.81,5.77,31.3,0.397,100.85,1.9,0.6,0.0,34.0,0.215,100,9213,100.71,34.7
7/19/23 15:45,729.7,0.000,0,0,212,3.34,5.22,31.3,0.406,100.84,1.9,0.6,0.0,34.0,0.215,100,9228,100.70,34.6
7/19/23 16:00,698.9,0.000,0,0,219,3.59,6.29,31.2,0.422,100.84,1.9,0.7,0.0,33.9,0.215,100,9241,100.70,34.3
7/19/23 16:15,668.5,0.000,0,0,215,3.84,6.44,31.2,0.420,100.84,2.0,0.6,0.0,33.8,0.215,100,9251,100.70,34.2
7/19/23 16:30,639.7,0.000,0,0,212,4.33,6.26,30.9,0.419,100.84,1.8,0.4,0.0,33.5,0.215,100,9266,100.69,33.9
7/19/23 16:45,589.9,0.000,0,0,225,4.63,6.44,30.6,0.426,100.83,1.7,0.7,0.0,33.1,0.215,100,9275,100.69,33.5
7/19/23 17:00,550.5,0.000,0,0,232,4.61,6.25,30.2,0.436,100.82,1.9,0.5,0.0,32.7,0.215,100,9283,100.68,32.9
7/19/23 17:15,525.3,0.000,0,0,227,4.60,6.76,29.8,0.440,100.82,1.8,0.6,0.0,32.1,0.215,100,9288,100.68,32.3
7/19/23 17:30,484.1,0.000,0,0,225,4.38,8.02,29.4,0.452,100.82,1.8,0.6,0.0,31.7,0.215,100,9294,100.68,31.9
7/19/23 17:45,445.1,0.000,0,0,234,4.15,7.18,28.9,0.469,100.82,1.8,0.6,0.0,31.4,0.215,100,9296,100.68,31.3
7/19/23 18:00,403.7,0.000,0,0,227,3.87,5.88,28.4,0.483,100.81,1.6,0.7,0.0,30.8,0.215,100,9297,100.68,30.7
7/19/23 18:15,362.7,0.000,0,0,230,3.71,5.68,28.0,0.491,100.81,1.6,0.7,0.0,30.3,0.215,100,9296,100.68,30.1
7/19/23 18:30,335.3,0.000,0,0,222,3.89,6.06,27.5,0.494,100.81,1.9,0.6,0.0,29.7,0.215,100,9291,100.68,29.5
7/19/23 18:45,263.1,0.000,0,0,229,3.76,5.99,26.9,0.505,100.82,2.0,0.4,0.0,29.1,0.215,100,9290,100.69,28.9
7/19/23 19:00,46.1,0.000,0,0,232,3.65,5.25,26.3,0.513,100.84,1.7,0.5,0.0,27.8,0.214,100,9283,100.71,27.8
7/19/23 19:15,44.7,0.000,0,0,233,3.22,5.09,25.4,0.533,100.85,1.6,0.6,0.0,26.4,0.214,100,9279,100.72,26.5
7/19/23 19:30,42.6,0.000,0,0,238,3.47,5.74,24.7,0.551,100.86,1.6,0.6,0.0,25.4,0.214,100,9279,100.73,25.6
7/19/23 19:45,99.7,0.000,0,0,237,3.37,6.04,24.0,0.570,100.86,1.5,0.5,0.0,24.7,0.214,100,9272,100.74,24.9
7/19/23 20:00,89.3,0.000,0,0,236,3.06,4.40,23.4,0.589,100.88,1.6,0.6,0.0,24.3,0.214,100,9270,100.76,24.5
7/19/23 20:15,56.1,0.000,0,0,241,3.48,5.87,22.6,0.612,100.90,1.5,0.6,0.0,23.5,0.214,100,9269,100.78,23.7
7/19/23 20:30,32.1,0.000,0,0,236,2.84,5.36,21.8,0.634,100.91,1.3,0.6,0.0,22.5,0.214,100,9263,100.80,22.8
7/19/23 20:45,11.4,0.000,0,0,229,2.59,4.67,20.9,0.658,100.93,1.3,0.6,0.0,21.5,0.214,100,9263,100.82,21.8
7/19/23 21:00,3.4,0.000,0,0,235,2.31,4.27,20.3,0.670,100.94,1.4,0.6,0.0,20.6,0.214,100,9259,100.83,20.8
7/19/23 21:15,0.3,0.000,0,0,236,2.25,4.11,19.7,0.682,100.97,1.4,0.6,0.0,19.8,0.214,100,9257,100.86,20.1
7/19/23 21:30,0.0,0.000,0,0,221,1.99,3.99,19.2,0.694,101.00,1.4,0.6,0.0,19.2,0.214,100,9256,100.90,19.5
7/19/23 21:45,0.0,0.000,0,0,211,1.82,2.84,18.8,0.702,101.03,1.3,0.6,0.0,18.7,0.214,100,9253,100.93,18.8
7/19/23 22:00,0.0,0.000,0,0,183,1.45,2.03,18.2,0.723,101.06,1.3,0.6,0.0,18.1,0.214,100,9250,100.97,18.2
7/19/23 22:15,0.0,0.000,0,0,198,1.31,1.97,17.8,0.736,101.07,1.3,0.6,0.0,17.5,0.214,100,9248,100.98,17.6
